PDB,Smile String,miLogP,TPSA,natoms,MW,nOH,nOHNH,nviolations,nrotb,volume,DeltaG(kJ/mol),deltaH(kJ/mol),TdeltaS(kJ/mol),Kd(uM)
1srl,OC(=O)c1ccccc1N=Nc1cc(C)c(O)c(C)c1,4.71,82.25,20,270.29,5,2,0,3,242.7,-34.69,9,43.68,0.83
1swg,OC(=O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12,0.76,78.42,16,244.32,5,3,0,5,214.36,-42.26,-56.07,-13.81,0.04 +- 0.05
1tlg,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,-2.64,110.37,12,180.16,6,5,0,1,151.81,-19.1,-77.8,-58.68,440
1u87,SC[C@@H](NC(=O)CC[C@@H](N)C(=O)O)C(=O)NCC(=O)O,-4.97,158.82,20,307.33,9,6,1,9,259.22,-28.22,-28.72,-0.66,11.42
1u88,CCCCCCCCSCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O,-1.98,158.82,28,419.54,9,6,1,17,393.86,-32.55,-30.4,2.15 +- 0.24,1.96 +- 16.67
1w3j,OC[C@H]1ONC[C@@H](O)[C@@H]1O,-1.8,81.94,10,149.15,5,4,0,1,131.32,-35.77,-43.97,-8.2,0.541
2olb,NCCCCC(NC(=O)C(N)CCCCN)C(=O)NC(CCCCN)C(=O)O,-4.83,199.59,28,402.54,10,11,1,17,399.67,-31.6,39.4 +- 0.9,70.8 +- 0.8,2.9 +- 0.06
3mbp,OC[C@H]1O[C@@H](O[C@@H]2[C@H](CO)OC(O)[C@@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@@H]1O[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@H]1O,-5.25,268.68,34,504.44,16,11,3,7,416.05,-34.89,9.75,44.66,0.77
3ptb,NC(=N)c1ccccc1,0.32,49.88,9,120.16,2,3,0,1,117.63,-26.6,-18.9,7.7,22.22
4rsk,OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(=O)(O)O)n1ccc(=O)[nH]c1=O,-3.71,171.32,21,324.18,11,5,1,4,244.02,-22.18,-39.33,-17.15,150
6gsp,OC[C@H]1O[C@@H]([C@H](O)[C@@H]1OP(=O)(O)O)n1cnc2c(=O)[nH]c(N)nc12,-3.64,206.05,24,363.22,13,7,2,4,272,-28.12,-31.97,-3.85,11.85 +- 625.0
