PDB,Smile String,Molar Refractivity,Polarizability (10-24cm3),miLogP,TPSA,natoms,MW,nOH,nOHNH,nviolations,nrotb,volume,DeltaG(kJ/mol),deltaH(kJ/mol),TdeltaS(kJ/mol),GPCR ligand ,Ion channel Modulator ,Kinase Inhibitor,Nuclear Receptor ligand ,Protease ligand,Enzyme inhibitor,
1nzv,O=CCN1CCCC1C(=O)NC(CCC(=O)N)C(=O)NC(Cc1ccc(cc1)OP(O)(O)O)C(=O)NC(C(C)CC)C(=O)NC(Cc1ccc(cc1)OP(O)(O)O)C(=O)NC(C(C)C)C(=O)N1CCCC1C(=O)NC(C(=O)O)C(C)CC,none,none,-4.95,435.44,82,1198.21,28,15,3,32,1064.46,-36.4,-6.28,30.12,-3.78,-3.871,-3.86,-3.875,-3.652,-3.804,
1odi,OC[C@H]1O[C@@H]([C@H](O)[C@@H]1O)n1cnc2c(N)ncnc12,60,23.8,-0.85,139.55,19,267.25,9,5,0,2,218.53,-23.88,-96.23,-72.35,1.103,0.542,0.874,-1.735,-0.008,1.278,
1odj,OC[C@H]1O[C@@H]([C@H](O)[C@@H]1O)n1cnc2c(=O)[nH]c(N)nc12,60.8,24.1,-2.02,159.52,20,283.24,10,6,1,2,226.66,-23.56,-99.16,-75.6,0.917,0.124,0.573,-1.552,-0.25,1.223,
1ohr,O[C@H](CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C)[C@@H](CSc1ccccc1)NC(=O)c1cccc(O)c1C,162.4,64.4,5.47,101.89,40,567.8,7,4,2,10,544.79,-54.81,10.88,65.69,0.189,-0.249,-0.277,-0.248,0.578,-0.021,
1oif,OC[C@H]1CNC[C@@H](O)[C@@H]1O,35.8,14.2,-1.94,72.71,10,147.17,4,4,0,1,139.14,-42.26,-31,11.21,-0.509,-0.373,-0.961,-1.211,-0.308,0.155,
1oim,OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O,70.8,28.1,-2.4,92.94,11,163.17,5,5,0,1,147.18,-26.74,-26.44,0.38,-0.712,-0.252,-0.853,-1.136,0.132,0.294,
1pts,OCC(NC(=O)C(N)Cc1ccccc1)C(=O)NC(Cc1cnc[nH]1)C(=O)N1CCCC1C(=O)NC(CCC(=O)N)C(=O)NC(CC(=O)N)C(=O)NC(C(C)O)C(=O)O,139,55.1,-5.48,384.45,59,829.87,23,15,3,23,731.4,-22.26,-80.92,-58.58,-1.663,-2.972,-2.729,-3.041,-0.89,-2.254,
1qka,NCCCCC(N)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCCN)C(=O)O,107.6,42.7,-5.01,235.47,30,430.55,12,13,2,18,417.57,-33.8,36,69.7,0.68,0.525,0.102,-0.118,1.038,0.517,
1qkb,NCCCCC(N)C(=O)NC(C(C)C)C(=O)NC(CCCCN)C(=O)O,100.1,39.7,-4.02,173.56,26,373.5,9,9,1,14,371.12,-41.9,22.4,64.3,0.466,0.27,0.036,-0.02,0.877,0.421,
1sre,Oc1ccc(cc1)N=Nc1ccccc1C(=O)O,66,26.2,3.69,82.25,18,242.23,5,2,0,3,209.57,-22.05,7.11,29.16,-0.271,0.015,-0.165,-0.463,-0.44,0.028,
1srg,OC(=O)c1ccccc1N=Nc1ccc(O)c(C)c1,70.4,27.9,4.54,82.25,19,256.26,5,2,0,3,226.14,-30.25,5.36,35.61,-0.334,-0.149,-0.16,-0.41,-0.462,-0.065,
1srl,OC(=O)c1ccccc1N=Nc1cc(C)c(O)c(C)c1,74.9,29.7,4.71,82.25,20,270.29,5,2,0,3,242.7,-34.69,9,43.68,-0.246,-0.091,-0.131,-0.347,-0.358,-0.011,
1swg,OC(=O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12,60.9,24.1,0.76,78.42,16,244.32,5,3,0,5,214.36,-42.26,-56.07,-13.81,-0.1,-0.572,-0.617,-0.626,0.266,0.254,
1tlg,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,37.3,14.8,-2.64,110.37,12,180.16,6,5,0,1,151.81,-19.1,-77.8,-58.68,-0.443,0.018,-0.801,-0.855,-0.511,0.4,
1u87,SC[C@@H](NC(=O)CC[C@@H](N)C(=O)O)C(=O)NCC(=O)O,70.1,27.8,-4.97,158.82,20,307.33,9,6,1,9,259.22,-28.22,-28.72,-0.66,0.432,0.279,-0.1,-0.217,1.128,0.752,
1u88,CCCCCCCCSCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O,107.3,42.5,-1.98,158.82,28,419.54,9,6,1,17,393.86,-32.55,-30.4,2.15,0.366,0.194,-0.18,-0.173,0.763,0.411,
1w3j,OC[C@H]1ONC[C@@H](O)[C@@H]1O,32.8,13,-1.8,81.94,10,149.15,5,4,0,1,131.32,-35.77,-43.97,-8.2,-0.562,-0.363,-0.805,-1.154,-0.219,0.115,
2olb,NCCCCC(NC(=O)C(N)CCCCN)C(=O)NC(CCCCN)C(=O)O,108.3,42.9,-4.83,199.59,28,402.54,10,11,1,17,399.67,-31.6,39.4,70.8,0.482,0.342,0.097,0.125,0.763,0.419,
3mbp,OC[C@H]1O[C@@H](O[C@@H]2[C@H](CO)OC(O)[C@@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@@H]1O[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@H]1O,104.5,41.4,-5.25,268.68,34,504.44,16,11,3,7,416.05,-34.89,9.75,44.66,0.154,0.11,0.029,-0.015,0.165,0.342,
3ptb,NC(=N)c1ccccc1,36.1,14.3,0.32,49.88,9,120.16,2,3,0,1,117.63,-26.6,-18.9,7.7,-1.313,-0.925,-1.971,-2.681,-0.735,-1.338,
4rsk,OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(=O)(O)O)n1ccc(=O)[nH]c1=O,63.6,25.2,-3.71,171.32,21,324.18,11,5,1,4,244.02,-22.18,-39.33,-17.15,1.035,0.691,0.679,-0.369,0.332,1.536,
6gsp,OC[C@H]1O[C@@H]([C@H](O)[C@@H]1OP(=O)(O)O)n1cnc2c(=O)[nH]c(N)nc12,70.8,28.1,-3.64,206.05,24,363.22,13,7,2,4,272,-28.12,-31.97,-3.85,1.264,0.652,1.102,-0.817,0.314,1.667,1.667
