PDB,Smile String,miLogP,TPSA,natoms,MW,nOH,nOHNH,nviolations,nrotb,volume
4rsk,OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(=O)(O)O)n1ccc(=O)[nH]c1=O,-3.71,171.32,21,324.18,11,5,1,4,244.02
1bvi,OC[C@H]1O[C@@H]([C@H](OP(=O)(O)O)[C@@H]1O)n1cnc2c(=O)[nH]c(N)nc12,-2.68,206.05,24,363.22,13,7,2,4,272
6gsp,OC[C@H]1O[C@@H]([C@H](O)[C@@H]1OP(=O)(O)O)n1cnc2c(=O)[nH]c(N)nc12,-3.64,206.05,24,363.22,13,7,2,4,272
1e7a,CC(C)c1cccc(C(C)C)c1O,3.7,20.23,13,178.28,1,1,0,2,191.96
1e7c,Cl[C@H](Br)C(F)(F)F,2.56,0,7,197.38,0,0,0,1,92.18
1e7b,Cl[C@H](Br)C(F)(F)F,2.56,0,7,197.38,0,0,0,1,92.18
1srl,OC(=O)c1ccccc1N=Nc1cc(C)c(O)c(C)c1,4.71,82.25,20,270.29,5,2,0,3,242.7
1srg,OC(=O)c1ccccc1N=Nc1ccc(O)c(C)c1,4.54,82.25,19,256.26,5,2,0,3,226.14
1pts,OCC(NC(=O)C(N)Cc1ccccc1)C(=O)NC(Cc1cnc[nH]1)C(=O)N1CCCC1C(=O)NC(CCC(=O)N)C(=O)NC(CC(=O)N)C(=O)NC(C(C)O)C(=O)O,-5.48,384.45,59,829.87,23,15,3,23,731.4
1sre,Oc1ccc(cc1)N=Nc1ccccc1C(=O)O,3.69,82.25,18,242.23,5,2,0,3,209.57
1k22,OC(=O)CN[C@H](C1CCCCC1)C(=O)N1CC[C@@H]1C(=O)NCc1ccc(cc1)C(=N)N,-0.93,148.61,31,429.52,9,6,1,9,400.2
1k21,NC(=N)NCCCNC(=O)[C@@H]1CCCCN1C(=O)[C@@H](NCC(=O)O)CC1CCCCC1,-0.36,160.63,31,438.57,10,7,1,12,425.21
1ce5,NC(=N)c1ccccc1,0.32,49.88,9,120.16,2,3,0,1,117.63
3ptb,NC(=N)c1ccccc1,0.32,49.88,9,120.16,2,3,0,1,117.63
1k1l,O=C(N1CCNCC1)[C@H](Cc1cccc(c1)C(=N)N)NS(=O)(=O)c1ccc2ccccc2c1,0.99,128.38,33,465.58,8,5,0,7,411.03
1k1m,O=C(N1CCN(CC1)C(=O)C)[C@H](Cc1cccc(c1)C(=N)N)NS(=O)(=O)c1ccc2ccccc2c1,0.95,136.66,36,507.62,9,4,1,7,446.95
1k1j,COC(=O)[C@H]1CCN(CC1)C(=O)[C@H](Cc1cccc(c1)C(=N)N)NS(=O)(=O)c1ccc2ccccc2c1,2.33,142.66,37,522.63,9,4,1,9,459.98
1k1i,OC(=O)[C@@H]1CCCCN1C(=O)[C@H](Cc1cccc(c1)C(=N)N)NS(=O)(=O)c1ccc2ccccc2c1,0.38,153.65,36,508.6,9,5,1,8,442.46
1k1p,OC(=O)CN[C@H](C1CCCCC1)C(=O)N1CC[C@@H]1C(=O)NCc1ccc(cc1)C(=N)N,-0.93,148.61,31,429.52,9,6,1,9,400.2
1k1n,COc1cc(C)c(c(C)c1C)S(=O)(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](Cc1ccc(cc1)C(=N)N)C(=O)N1CCCCC1,1.24,191.98,42,601.73,12,6,3,12,538.68
1k1o,NC(=N)NCCCNC(=O)[C@@H]1CCCCN1C(=O)[C@@H](NCC(=O)O)CC1CCCCC1,-0.36,160.63,31,438.57,10,7,1,12,425.21
1k7u,OC[C@H]1OC(O)[C@@H](NC(=O)C)[C@H](O)[C@@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1NC(=O)C,-4.89,207.27,29,424.4,13,8,2,6,363.79
1k7t,OC[C@H]1O[C@H](OC[C@H]2O[C@@H](O)[C@H](O)[C@@H](O)[C@H]2O)[C@H](NC(=O)C)[C@@H](O)[C@@H]1O,-4.58,198.4,26,383.35,12,8,2,5,323.86
1k7v,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO[C@H]2O[C@H](CO)[C@@H](O)[C@@H](O)[C@H]2NC(=O)C)[C@H](O)[C@@H](O)[C@H]1O,-5.31,277.55,37,545.49,17,11,3,8,455.98
1a08,CCCCCN(CCCCC)C(=O)[C@H](CCC(=O)[O-])NC(=O)[C@H](NC(=O)C)Cc1ccc(cc1)C(F)(F)P(=O)([O-])[O-],-0.39,181.82,41,602.59,11,2,2,19,536.26
1a1e,CCCCC1CCCN(C1)C(=O)[C@H](CCC(=O)[O-])NC(=O)[C@H](NC(=O)C)Cc1ccc(cc1)OP(=O)([O-])[O-],-2.12,191.05,38,552.54,12,2,2,14,491.5
1a1b,CCCCCN(CCCCC)C(=O)[C@H](CCC(=O)[O-])NC(=O)[C@H](NC(=O)C)Cc1ccc(cc1)OP(=O)([O-])[O-],-0.95,191.05,39,568.58,12,2,2,19,518.88
1a1c,[O-]C(=O)CC[C@@H](NC(=O)[C@@H](NC(=O)C)Cc1ccc(cc1)OP(=O)([O-])[O-])C(=O)N(C)CCCC1CCCC1,-2.52,191.05,38,552.54,12,2,2,15,491.5
1is0,CCC(C)C(NC(=O)C(CCC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C1C(C(=O)NC)C1c1ccc(cc1)OP(=O)(O)O)C(=O)O,-3.1,295.05,47,686.61,18,9,3,19,584.6
1nzl,O=CCN1CCCC1C(=O)NC(CCC(=O)N)C(=O)NC(Cc1ccc(cc1)OP(O)(O)O)C(=O)NC(CCC(=O)O)C(=O)NC(Cc1ccc(cc1)OP(O)(O)O)C(=O)NC(C(C)CC)C(=O)N1CCCC1C(=O)NC(C(=O)O)C(C)CC,-5.36,472.73,84,1228.19,30,16,3,34,1075.12
1nzv,O=CCN1CCCC1C(=O)NC(CCC(=O)N)C(=O)NC(Cc1ccc(cc1)OP(O)(O)O)C(=O)NC(C(C)CC)C(=O)NC(Cc1ccc(cc1)OP(O)(O)O)C(=O)NC(C(C)C)C(=O)N1CCCC1C(=O)NC(C(=O)O)C(C)CC,-4.95,435.44,82,1198.21,28,15,3,32,1064.46
